橋	キョウ	はし	ばせ	bridge	bridge	KIỀU	cây cầu		橋(はし): bridge<br>桟橋(さんばし): wharf; bridge; jetty; pier<br>橋渡し(はしわたし): bridge building; mediation; go-between; intermediary; (through the) good offices (of someone)<br>鉄橋(てっきょう): railway bridge; iron bridge<br>橋(きょう): pons (pontes); pons Varolii; pontine; part of the brain stem (links the medulla oblongata and cerebellum with the midbrain)	2	3	553	木: tree; wood<br>喬: high; boasting	16	木	75	4	き・きへん	(không có)	形声 Hình thanh	grade3 JLPT.N2 Kanji_Structure.Town.Building kanjifreq501-750
氷	ヒョウ	こおり、ひ、こお.る	すい	icicle, ice, hail, freeze, congeal	icicle	BĂNG	băng tuyết		氷(こおり): (1) ice (2) shaved ice (usually served with flavored simple syrup)	2	3	1450	水: water<br>丶: dot; tick or dot radical (no. 3)	5	水	85	4	みず・したみず・さんずい	(không có)	象形 Tượng hình	grade3 JLPT.N2 Kanji_Nature_Substance kanjifreq1001-1500
油	ユ、ユウ	あぶら		oil, fat	oil	DU	dầu		石油(せきゆ): oil; petroleum; kerosene<br>原油(げんゆ): crude oil<br>油(あぶら): oil<br>灯油(とうゆ): lamp oil; kerosene<br>油絵(あぶらえ): oil painting<br>油断(ゆだん): negligence; unpreparedness<br>醤油(しょうゆ): soy sauce; shoyu	2	3	690	水: water<br>由: wherefore; a reason	8	水	85	4	みず・したみず・さんずい	(không có)	形声 Hình thanh	grade3 JLPT.N2 Kanji_Nature_Substance kanjifreq501-750
波	ハ	なみ	ひら, みな, みなみ, わ	waves, billows, Poland	waves	BA	sóng, phong ba		波(なみ): wave<br>電波(でんぱ): (1) electro-magnetic wave; radio wave (2) nonsense<br>津波(つなみ): tsunami; tidal wave<br>短波(たんぱ): short wave	2	3	740	水: water<br>皮: pelt; skin; hide; leather; skin radical (no. 107)	8	水	85	4	みず・したみず・さんずい	(không có)	形声 Hình thanh	grade3 JLPT.N2 Kanji_Nature_Weather kanjifreq501-750
温	オン	あたた.か、あたた.かい、あたた.まる、あたた.める、ぬく	あつ, あつし, なお, はる, ゆ, ゆたか	warm	warm	ÔN	ôn hòa, ôn tồn		気温(きおん): atmospheric temperature<br>温泉(おんせん): spa; hot spring; onsen<br>温暖(おんだん): warmth<br>温度(おんど): temperature<br>温室(おんしつ): greenhouse; hothouse; conservatory; glasshouse<br>体温(たいおん): temperature; body temperature (human, animal)<br>保温(ほおん): retaining warmth; keeping heat in; heat insulation<br>温帯(おんたい): temperate zone<br>温める(あたためる): to warm; to heat<br>温い(ぬるい): (1) lukewarm; tepid (2) lenient (3) slow; stupid	2	3	838	水: water<br>日: day; sun; Japan; counter for days<br>皿: dish; a helping; plate	12	水	85	4	みず・したみず・さんずい	溫	形声 Hình thanh	grade3 JLPT.N2 Kanji_Physical.Properties_Miscellaneous kanjifreq751-1000
湖	コ	みずうみ	うみ, み	lake	lake	HỒ	ao hồ		湖(みずうみ): lake<br>湖(こ): lake (in place names)	2	3	1344	水: water<br>胡: barbarian; foreign	12	水	85	4	みず・したみず・さんずい	(không có)	形声 Hình thanh	grade3 JLPT.N2 Kanji_Nature_Landscape kanjifreq1001-1500
湯	トウ	ゆ		hot water, bath, hot spring	hot water	THANG, SƯƠNG	nước nóng		湯(ゆ): (1) hot water (2) hot bath; hot spring (3) molten iron<br>熱湯(ねっとう): boiling water<br>湯気(ゆげ): steam; vapour; vapor<br>湯飲み(ゆのみ): teacup<br>茶の湯(ちゃのゆ): tea ceremony	2	3	1356	水: water<br>昜: open; sun	12	水	85	4	みず・したみず・さんずい	(không có)	形声 Hình thanh	grade3 JLPT.N2 kanjifreq1001-1500
炭	タン	すみ		charcoal, coal	charcoal	THÁN	than		石炭(せきたん): coal<br>炭素(たんそ): carbon (C)<br>炭鉱(たんこう): coal mine; coal pit	2	3	1307	山: mountain<br>灰: ashes; puckery juice; cremate	9	火	86	4	ひ・ひへん・れっか・れんが	(không có)	会意 Hội ý	grade3 JLPT.N2 Kanji_Nature_Substance kanjifreq1001-1500
畑		はた、はたけ、-ばたけ	かま, まま	"farm, field, garden, one's specialty, (kokuji)"	farm	(Không có âm Hán Việt)	vườn		畑(はたけ): (1) field (for fruits, vegetables, etc.); cultivated land; vegetable plot; kitchen garden; plantation (2) field (of specialization); sphere; area (3) womb; birth; birthplace<br>畑地(はたち): farmland	2	3	1176	火: fire<br>田: rice field; rice paddy	9	田	102	5	た・たへん	(không có)	国字 Original	grade3 JLPT.N2 Kanji_Nature_Landscape kanjifreq1001-1500
皮	ヒ	かわ		pelt, skin, hide, leather	pelt	BÌ	da		"皮(かわ): (1) skin; hide; pelt; fur (2) rind; peel; husk; bark (3) shell; sheath; wrapping (4) mask (hiding one's true nature); seeming<br>皮膚(ひふ): skin<br>皮肉(ひにく): cynicism; sarcasm; irony; satire<br>毛皮(けがわ): (1) fur; skin; pelt (2) kanji ""fur"" radical"	2	3	1092	皮: skin, skin radical (no. 107)	5	皮	107	5	かわ・けがわ・ひのかわ	(không có)	象形 Tượng hình	grade3 JLPT.N2 Kanji_Body_General kanjifreq1001-1500
皿	ベイ	さら		dish, a helping, plate	dish	MÃNH	đĩa		皿(さら): (1) plate; dish; platter; disc (2) serving; helping; course (3) kanji radical 108 (at the bottom)<br>灰皿(はいざら): ashtray<br>お皿(おさら): plate; dish	2	3	1812	皿: dish, dish radical (no. 108)	5	皿	108	5	さら	(không có)	象形 Tượng hình	grade3 JLPT.N2 Kanji_Manufactured.Item kanjifreq1501-2000
祭	サイ	まつ.る、まつ.り、まつり		ritual, offer prayers, celebrate, deify, enshrine, worship	ritual	TẾ	lễ hội		"祭(まつり): festival; feast<br>祭る(まつる): (1) to deify; to enshrine (2) to pray; to worship<br>祭日(さいじつ): national holiday; festival day<br>雛祭(ひなまつり): Girls' Festival (March 3rd); Dolls' Festival<br>お祭り(おまつり): festival; feast; carnival"	2	3	1124	月: month; moon<br>示: show; indicate; point out; express; display	11	示	113	5	しめす・しめすへん	(không có)	会意 Hội ý	grade3 JLPT.N2 Kanji_Human.Activities_Culture.Art kanjifreq1001-1500
秒	ビョウ			second (1/60 minute)	second	MIỂU	giây (1/60 phút)		秒(びょう): second (60th min)	2	3	1015	禾: 2-branch tree radical (no. 115)<br>少: few; little	9	禾	115	5	のぎ・のぎへん	(không có)	会意 Hội ý	grade3 JLPT.N2 Kanji_Time kanjifreq1001-1500
章	ショウ		あき, あきら, あや, ふみ	badge, chapter, composition, poem, design	badge	CHƯƠNG	chương sách		章(しょう): (1) chapter; section (2) medal<br>文章(ぶんしょう): (1) sentence; article; composition (2) (writing) style	2	3	990	音: sound; noise<br>早: early; fast	11	立	117	5	たつ・たつへん	(không có)	象形 Tượng hình	grade3 JLPT.N2 kanjifreq751-1000
